CourseID,EnrollmentCount,CourseRevenue,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,YearsOfExperience,TeacherRating,Expertise,PriceBand,DurationBucket,RatingTier,ExperienceBucket,RevenuePerEnrollment
CR00026,172,0.0,Machine Learning,Free,Intermediate,0.0,47.7,4.73,21,4.97,Machine Learning,Low,Medium,Excellent,Expert,0.0
CR00027,152,0.0,Machine Learning,Free,Advanced,0.0,9.3,1.81,21,4.97,Machine Learning,Low,Short,Low,Expert,0.0
CR00028,171,133.38,Machine Learning,Paid,Advanced,0.78,44.96,3.89,21,4.97,Machine Learning,Low,Medium,Good,Expert,0.78
CR00029,155,0.0,Machine Learning,Free,Beginner,0.0,16.33,1.13,21,4.97,Machine Learning,Low,Short,Low,Expert,0.0
CR00030,169,0.0,Machine Learning,Free,Intermediate,0.0,38.49,1.73,21,4.97,Machine Learning,Low,Medium,Low,Expert,0.0
CR00031,160,0.0,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,24,4.58,Cybersecurity,Low,Medium,Low,Expert,0.0
CR00032,163,0.0,Cybersecurity,Free,Advanced,0.0,16.74,2.38,24,4.58,Cybersecurity,Low,Short,Low,Expert,0.0
CR00033,167,0.0,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,24,4.58,Cybersecurity,Low,Medium,Good,Expert,0.0
CR00034,150,59139.0,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,24,4.58,Cybersecurity,High,Medium,Low,Expert,394.26
CR00035,179,0.0,Cybersecurity,Free,Beginner,0.0,42.59,4.94,24,4.58,Cybersecurity,Low,Medium,Excellent,Expert,0.0
CR00036,177,0.0,Project Management,Free,Beginner,0.0,15.75,4.68,24,4.58,Cybersecurity,Low,Short,Excellent,Expert,0.0
CR00037,153,0.0,Project Management,Free,Intermediate,0.0,33.93,3.45,24,4.58,Cybersecurity,Low,Medium,Good,Expert,0.0
CR00038,158,54132.380000000005,Project Management,Paid,Intermediate,342.61,17.14,4.84,24,4.58,Cybersecurity,High,Short,Excellent,Expert,342.61
CR00039,167,57900.57,Project Management,Paid,Advanced,346.71,3.42,1.23,24,4.58,Cybersecurity,High,Short,Low,Expert,346.71
CR00040,174,57070.26,Project Management,Paid,Beginner,327.99,12.13,1.51,24,4.58,Cybersecurity,High,Short,Low,Expert,327.99
CR00041,166,8940.76,Finance,Paid,Beginner,53.86,47.08,2.47,21,4.97,Machine Learning,Medium,Medium,Low,Expert,53.86
CR00042,183,0.0,Finance,Free,Intermediate,0.0,34.83,4.1,21,4.97,Machine Learning,Low,Medium,Excellent,Expert,0.0
CR00043,182,0.0,Finance,Free,Beginner,0.0,31.77,4.14,24,4.58,Cybersecurity,Low,Medium,Excellent,Expert,0.0
CR00044,161,19165.440000000002,Finance,Paid,Intermediate,119.04,23.41,2.75,24,4.58,Cybersecurity,Medium,Medium,Low,Expert,119.04000000000002
CR00045,172,0.0,Finance,Free,Advanced,0.0,6.36,1.59,24,4.58,Cybersecurity,Low,Short,Low,Expert,0.0
CR00046,140,34734.0,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,24,4.58,Cybersecurity,High,Short,Low,Expert,248.1
CR00047,166,14871.94,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,24,4.58,Cybersecurity,Medium,Short,Low,Expert,89.59
CR00048,186,0.0,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,24,4.58,Cybersecurity,Low,Medium,Good,Expert,0.0
CR00049,163,67728.13,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,21,4.97,Machine Learning,High,Medium,Good,Expert,415.51000000000005
CR00050,174,85416.59999999999,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,21,4.97,Machine Learning,High,Short,Excellent,Expert,490.9
CR00051,171,6479.1900000000005,Web Development,Paid,Advanced,37.89,24.11,1.3,21,4.97,Machine Learning,Low,Medium,Low,Expert,37.89
CR00052,154,0.0,Web Development,Free,Beginner,0.0,40.76,2.2,21,4.97,Machine Learning,Low,Medium,Low,Expert,0.0
CR00053,163,0.0,Web Development,Free,Advanced,0.0,40.07,2.67,24,4.58,Cybersecurity,Low,Medium,Low,Expert,0.0
CR00054,178,0.0,Web Development,Free,Beginner,0.0,48.57,3.32,21,4.97,Machine Learning,Low,Medium,Good,Expert,0.0
CR00055,178,10202.960000000001,Web Development,Paid,Advanced,57.32,43.95,4.74,24,4.58,Cybersecurity,Medium,Medium,Excellent,Expert,57.32000000000001
CR00056,148,31433.719999999998,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,21,4.97,Machine Learning,High,Medium,Good,Expert,212.39
CR00057,140,24827.600000000002,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,24,4.58,Cybersecurity,High,Medium,Good,Expert,177.34
CR00058,194,0.0,Digital Marketing,Free,Beginner,0.0,1.46,4.44,24,4.58,Cybersecurity,Low,Short,Excellent,Expert,0.0
CR00059,161,0.0,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,21,4.97,Machine Learning,Low,Short,Excellent,Expert,0.0
CR00060,165,0.0,Digital Marketing,Free,Beginner,0.0,8.95,2.14,21,4.97,Machine Learning,Low,Short,Low,Expert,0.0
